,Quarter,Tm,Detail,DAL,RAI
0,1.0,Raiders,Marcus Allen 1 yard rush (pass failed),0,6
1,1.0,Cowboys,Emmitt Smith 6 yard rush (Lin Elliott kick),7,6
2,3.0,Raiders,Willie Gault 31 yard pass from Todd Marinovich (Jeff Jaeger kick),7,13
3,3.0,Cowboys,Emmitt Smith 4 yard rush (Lin Elliott kick),14,13
4,4.0,Cowboys,Troy Aikman 3 yard rush (Lin Elliott kick),21,13
5,4.0,Cowboys,Emmitt Smith 26 yard rush (Lin Elliott kick),28,13
