,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Kyle Rote 71 yard pass from George Shaw (Pat Summerall kick),7,0
1,1.0,Giants,Kyle Rote 11 yard pass from George Shaw (Pat Summerall kick),14,0
2,1.0,Giants,Pat Summerall 35 yard field goal,17,0
3,2.0,Eagles,Bobby Walston 15 yard field goal,17,3
4,2.0,Eagles,Ted Dean 25 yard pass from Norm Van Brocklin (Bobby Walston kick),17,10
5,2.0,Eagles,J.D. Smith offensive fumble recovery in end zone (Bobby Walston kick),17,17
6,2.0,Giants,Pat Summerall 31 yard field goal,20,17
7,3.0,Giants,Pat Summerall 15 yard field goal,23,17
8,4.0,Eagles,Ted Dean 49 yard pass from Norm Van Brocklin (Bobby Walston kick),23,24
9,4.0,Eagles,Billy Ray Barnes 8 yard pass from Norm Van Brocklin (Bobby Walston kick),23,31
