,Quarter,Tm,Detail,BUF,MIA
0,1.0,Bills,George Jakowenko 28 yard field goal,3,0
1,1.0,Dolphins,Garo Yepremian 53 yard field goal,3,3
2,1.0,Bills,O.J. Simpson 75 yard rush (George Jakowenko kick),10,3
3,2.0,Dolphins,Duriel Harris 37 yard pass from Don Strock (Garo Yepremian kick),10,10
4,2.0,Dolphins,Freddie Solomon 79 yard punt return (Garo Yepremian kick),10,17
5,2.0,Bills,George Jakowenko 49 yard field goal,13,17
6,3.0,Dolphins,Freddie Solomon 53 yard pass from Don Strock (Garo Yepremian kick),13,24
7,3.0,Dolphins,Don Strock 2 yard rush (Garo Yepremian kick),13,31
8,3.0,Bills,Reuben Gant 11 yard pass from Gary Marangi (George Jakowenko kick),20,31
9,4.0,Dolphins,Freddie Solomon 59 yard rush (Garo Yepremian kick),20,38
10,4.0,Bills,Bob Chandler 15 yard pass from Gary Marangi (George Jakowenko kick),27,38
11,4.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),27,45
