,Quarter,Time,Tm,Detail,CIN,PHI
0,1.0,5:08,Eagles,David Akers 32 yard field goal,0,3
1,1.0,3:57,Eagles,Charles Johnson 39 yard pass from Donovan McNabb (David Akers kick),0,10
2,2.0,1:06,Eagles,David Akers 45 yard field goal,0,13
3,4.0,3:12,Bengals,Peter Warrick 17 yard pass from Scott Mitchell (Neil Rackers kick),7,13
4,4.0,1:48,Eagles,David Akers 33 yard field goal,7,16
