,Quarter,Time,Tm,Detail,MIA,WAS
0,2,12:14,Redskins,Shaun Suisham 31 yard field goal,0,3
1,2,0:00,Dolphins,Justin Peelle 1 yard pass from Trent Green (Jay Feely kick),7,3
2,3,11:47,Redskins,Clinton Portis 19 yard rush (Shaun Suisham kick),7,10
3,3,3:37,Dolphins,Jay Feely 20 yard field goal,10,10
4,4,5:30,Redskins,Shaun Suisham 44 yard field goal,10,13
5,4,1:55,Dolphins,Jay Feely 36 yard field goal,13,13
6,OT,9:24,Redskins,Shaun Suisham 39 yard field goal,13,16
