,Quarter,Tm,Detail,SEA,RAI
0,1.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),7,0
1,2.0,Seahawks,Ray Butler 15 yard pass from Dave Krieg (Norm Johnson kick),14,0
2,2.0,Seahawks,Curt Warner 6 yard rush (Norm Johnson kick),21,0
3,2.0,Seahawks,Fredd Young 50 yard interception return (Norm Johnson kick),28,0
4,3.0,Raiders,Todd Christensen 7 yard pass from Marc Wilson (Chris Bahr kick),28,7
5,4.0,Raiders,Dokie Williams 14 yard pass from Marc Wilson,28,13
6,4.0,Seahawks,Ray Butler 31 yard pass from Dave Krieg (Norm Johnson kick),35,13
