,Quarter,Tm,Detail,NYG,DAL
0,2.0,Cowboys,Tony Dorsett 36 yard pass from Danny White (Rafael Septien kick),0,7
1,2.0,Cowboys,Herschel Walker 1 yard rush (Rafael Septien kick),0,14
2,2.0,Giants,Bobby Johnson 13 yard pass from Phil Simms (Bob Thomas kick),7,14
3,2.0,Giants,Stacy Robinson 3 yard pass from Phil Simms (Bob Thomas kick),14,14
4,2.0,Cowboys,Rafael Septien 35 yard field goal,14,17
5,3.0,Giants,Joe Morris 2 yard rush (Bob Thomas kick),21,17
6,4.0,Cowboys,Thornton Chandler 1 yard pass from Danny White (Rafael Septien kick),21,24
7,4.0,Giants,Bobby Johnson 44 yard pass from Phil Simms (Bob Thomas kick),28,24
8,4.0,Cowboys,Herschel Walker 10 yard rush (Rafael Septien kick),28,31
