,Quarter,Tm,Detail,CHI,MIN
0,1,Vikings,Chuck Foreman 2 yard rush (Fred Cox kick),0,7
1,1,Vikings,Fred Cox 30 yard field goal,0,10
2,2,Vikings,Fred Cox 38 yard field goal,0,13
3,2,Bears,Bo Rather 9 yard pass from Bob Avellini,6,13
4,3,Bears,Bob Thomas 38 yard field goal,9,13
5,3,Bears,Greg Latta 2 yard pass from Bob Avellini (Bob Thomas kick),16,13
6,4,Vikings,Fred Cox 21 yard field goal,16,16
7,OT,Vikings,Stu Voigt 11 yard pass from Paul Krause,16,22
