,Quarter,Tm,Detail,BAL,CHI
0,3.0,Colts,Jim Martin 16 yard field goal,3,0
1,4.0,Bears,Ronnie Bull 44 yard pass from Rudy Bukich (Bob Jencks kick),3,7
2,4.0,Bears,Roger LeClerc 16 yard field goal,3,10
