,Quarter,Tm,Detail,CRD,BKN
0,2.0,Cardinals,Chuck Kassel 23 yard pass from Ernie Nevers (Ernie Nevers kick),7,0
1,2.0,Dodgers,Rex Thomas 48 yard pass from Jack McBride (Jack McBride kick),7,7
2,3.0,Cardinals,Ernie Nevers unknown yard rush (Ernie Nevers kick),14,7
