,Quarter,Time,Tm,Detail,SDG,CIN
0,1.0,10:19,Bengals,Jermaine Gresham 3 yard pass from Carson Palmer (Clint Stitser kick),0,7
1,2.0,12:54,Bengals,Jerome Simpson 10 yard pass from Carson Palmer (Clint Stitser kick failed),0,13
2,2.0,1:15,Chargers,Nate Kaeding 20 yard field goal,3,13
3,3.0,5:45,Chargers,Ryan Mathews 23 yard rush (Nate Kaeding kick),10,13
4,4.0,13:00,Bengals,Jordan Shipley 3 yard pass from Carson Palmer (Clint Stitser kick),10,20
5,4.0,7:18,Chargers,Nate Kaeding 28 yard field goal,13,20
6,4.0,6:25,Bengals,Jerome Simpson 59 yard pass from Carson Palmer (Clint Stitser kick),13,27
7,4.0,3:54,Bengals,Bernard Scott 10 yard rush (Clint Stitser kick),13,34
8,4.0,1:27,Chargers,Kelley Washington 5 yard pass from Philip Rivers (Nate Kaeding kick),20,34
