,Quarter,Tm,Detail,SEA,DEN
0,1,Seahawks,Derrick Fenner 4 yard rush (Norm Johnson kick),7,0
1,1,Broncos,Mark Jackson 6 yard pass from John Elway (David Treadwell kick),7,7
2,1,Broncos,Karl Mecklenburg 2 yard defensive fumble return (David Treadwell kick),7,14
3,2,Seahawks,Derrick Fenner 2 yard rush (Norm Johnson kick),14,14
4,2,Broncos,Mark Jackson 29 yard pass from John Elway (David Treadwell kick),14,21
5,2,Broncos,Mel Bratton 1 yard pass from John Elway (David Treadwell kick),14,28
6,3,Seahawks,Norm Johnson 39 yard field goal,17,28
7,3,Seahawks,Ron Heller 2 yard pass from Dave Krieg (Norm Johnson kick),24,28
8,4,Broncos,David Treadwell 27 yard field goal,24,31
9,4,Seahawks,Derrick Fenner 4 yard rush (Norm Johnson kick),31,31
10,OT,Broncos,David Treadwell 25 yard field goal,31,34
