,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Ted Fritsch 32 yard field goal,0,3
1,2.0,Cardinals,Ward Cuff 23 yard field goal,3,3
2,3.0,Packers,Ted Fritsch 36 yard field goal,3,6
3,4.0,Cardinals,Paul Christman 2 yard rush (Ward Cuff kick),10,6
4,4.0,Cardinals,Marshall Goldberg 1 yard rush (Ward Cuff kick),17,6
5,4.0,Cardinals,Elmer Angsman 61 yard rush (Ward Cuff kick),24,6
