,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,,Vikings,Scott Sisson 41 yard field goal,0,3
1,1.0,1:22,Bears,"Safety, Miniefield blocked punt out of end zone",2,3
2,2.0,1:22,Bears,Jeff Jaeger 41 yard field goal,5,3
3,2.0,1:22,Bears,Rashaan Salaam 1 yard rush (Jeff Jaeger kick),12,3
4,2.0,1:22,Bears,Jeff Jaeger 44 yard field goal,15,3
5,3.0,1:22,Vikings,Qadry Ismail 54 yard pass from Warren Moon (Scott Sisson kick),15,10
6,3.0,1:22,Vikings,Scott Sisson 43 yard field goal,15,13
