,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Len Sedbrook unknown yard pass from Benny Friedman (Benny Friedman kick),0,7
1,2.0,Giants,Ray Flaherty 21 yard pass from Benny Friedman (Benny Friedman kick),0,14
2,2.0,Cardinals,"Safety, Punt blocked out of end zone",2,14
3,2.0,Cardinals,Cobb Rooney 14 yard pass from Ernie Nevers (Ernie Nevers kick),9,14
4,3.0,Cardinals,Gene Rose 8 yard rush,15,14
5,4.0,Cardinals,Ernie Nevers 2 yard rush,21,14
6,4.0,Giants,Tony Plansky 1 yard rush (Benny Friedman kick),21,21
7,4.0,Giants,Tony Plansky 42 yard field goal,21,24
