,Quarter,Tm,Detail,DAL,PIT
0,1.0,Cowboys,Bob Hayes 55 yard pass from Craig Morton (Danny Villanueva kick),7,0
1,2.0,Cowboys,Bob Hayes 35 yard pass from Craig Morton (Danny Villanueva kick),14,0
2,2.0,Steelers,John Hilton 5 yard pass from Kent Nix (Mike Clark kick),14,7
3,4.0,Steelers,Kent Nix 1 yard rush (Mike Clark kick),14,14
4,4.0,Cowboys,Danny Villanueva 34 yard field goal,17,14
5,4.0,Steelers,J.R. Wilburn 11 yard pass from Kent Nix (Mike Clark kick),17,21
6,4.0,Cowboys,Pettis Norman 5 yard pass from Craig Morton (Danny Villanueva kick),24,21
