,Quarter,Tm,Detail,PIT,PHI
0,1,Eagles,Bill Hewitt unknown yard pass from Dave Smukler (Dave Smukler kick),0,7
1,3,Pirates,Whizzer White 79 yard rush (Armand Niccolai kick),7,7
2,4,Eagles,Joe Carter 11 yard pass from Dave Smukler (Hank Reese kick),7,14
