,Quarter,Time,Tm,Detail,PHI,CHI
0,1.0,6:11,Eagles,Caleb Sturgis 25 yard field goal,3,0
1,2.0,11:16,Bears,Jeremy Langford 1 yard rush (Connor Barth kick),3,7
2,2.0,2:27,Eagles,Caleb Sturgis 29 yard field goal,6,7
3,2.0,0:03,Eagles,Caleb Sturgis 53 yard field goal,9,7
4,3.0,0:53,Eagles,Ryan Mathews 3 yard rush (Caleb Sturgis kick),16,7
5,3.0,0:32,Eagles,Trey Burton 2 yard pass from Carson Wentz (Caleb Sturgis kick failed),22,7
6,4.0,10:36,Eagles,Ryan Mathews 1 yard rush (Caleb Sturgis kick),29,7
7,4.0,5:09,Bears,Eddie Royal 65 yard punt return (Connor Barth kick),29,14
