,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),0,7
1,1.0,Chiefs,Ed Podolak 4 yard pass from Len Dawson (Jan Stenerud kick),7,7
2,2.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),7,14
3,2.0,Chiefs,Ed Podolak 2 yard rush (Jan Stenerud kick),14,14
4,2.0,Broncos,Billy Van Heusen 11 yard pass from Charley Johnson (Jim Turner kick),14,21
5,2.0,Chiefs,Jan Stenerud 41 yard field goal,17,21
6,3.0,Chiefs,"Safety, Lanier tackled Armstrong in end zone",19,21
7,3.0,Chiefs,Otis Taylor 35 yard pass from Len Dawson (Jan Stenerud kick),26,21
8,3.0,Chiefs,Woody Green 17 yard rush (Jan Stenerud kick),33,21
9,3.0,Chiefs,Jan Stenerud 35 yard field goal,36,21
10,4.0,Broncos,Jon Keyworth 1 yard rush,36,27
11,4.0,Chiefs,Wendell Hayes 1 yard rush,42,27
12,4.0,Broncos,Otto Stowe 4 yard pass from Charley Johnson (Jim Turner kick),42,34
