,Quarter,Tm,Detail,TAM,NYG
0,2.0,Giants,Billy Taylor 2 yard rush (Joe Danelo kick),0,7
1,2.0,Giants,Billy Taylor 1 yard rush (Joe Danelo kick),0,14
2,2.0,Buccaneers,Larry Mucker 14 yard pass from Doug Williams (Neil O'Donoghue kick),7,14
3,4.0,Giants,Joe Danelo 47 yard field goal,7,17
4,4.0,Buccaneers,Jimmie Giles 11 yard pass from Doug Williams (Neil O'Donoghue kick),14,17
