,Quarter,Tm,Detail,GNB,PHI
0,1.0,Eagles,Tom Dempsey 39 yard field goal,0,3
1,1.0,Eagles,Tom Sullivan 1 yard rush,0,9
2,2.0,Eagles,Will Wynn 87 yard defensive fumble return,0,15
3,2.0,Eagles,Charle Young 14 yard pass from Mike Boryla (Tom Dempsey kick),0,22
4,2.0,Eagles,Tom Sullivan 2 yard rush (Tom Dempsey kick),0,29
5,2.0,Packers,John Brockington 1 yard rush (Chester Marcol kick),7,29
6,3.0,Packers,MacArthur Lane 3 yard pass from John Hadl (Chester Marcol kick),14,29
7,4.0,Eagles,Harold Carmichael 3 yard pass from Mike Boryla (Tom Dempsey kick),14,36
