,Quarter,Tm,Detail,CHI,CLE
0,2.0,Browns,Dub Jones 2 yard rush (Lou Groza kick),0,7
1,2.0,Browns,Dub Jones 34 yard pass from Otto Graham (Lou Groza kick),0,14
2,3.0,Browns,Dub Jones 12 yard rush (Lou Groza kick),0,21
3,3.0,Bears,George Gulyanics 3 yard rush (George Blanda kick),7,21
4,3.0,Browns,Dub Jones 27 yard rush (Lou Groza kick),7,28
5,4.0,Browns,Dub Jones 43 yard rush (Lou Groza kick),7,35
6,4.0,Browns,Dub Jones 43 yard pass from Otto Graham (Lou Groza kick),7,42
7,4.0,Bears,Ed Sprinkle 55 yard fumble return (George Blanda kick),14,42
8,4.0,Bears,Chuck Hunsinger 19 yard pass from Bob Williams (Wilford White kick),21,42
