,Quarter,Tm,Detail,RAI,PHI
0,3.0,Eagles,Randall Cunningham 1 yard rush (Luis Zendejas kick),0,7
1,3.0,Eagles,Luis Zendejas 34 yard field goal,0,10
2,4.0,Raiders,Willie Gault 24 yard pass from Steve Beuerlein (Jeff Jaeger kick),7,10
