,Quarter,Tm,Detail,KAN,SDG
0,2.0,Chiefs,Jan Stenerud 33 yard field goal,3,0
1,2.0,Chargers,Mike Garrett 27 yard pass from John Hadl (Dennis Partee kick),3,7
2,3.0,Chiefs,Jan Stenerud 50 yard field goal,6,7
3,3.0,Chiefs,Ed Podolak 6 yard rush (Jan Stenerud kick),13,7
4,4.0,Chiefs,Jan Stenerud 15 yard field goal,16,7
5,4.0,Chargers,Mike Garrett 3 yard rush (Dennis Partee kick),16,14
6,4.0,Chiefs,Robert West 8 yard offensive fumble return (Jan Stenerud kick),23,14
7,4.0,Chiefs,Jan Stenerud 37 yard field goal,26,14
