,Quarter,Tm,Detail,DAL,CHI
0,1.0,Cowboys,Walt Garrison 1 yard rush (Mike Clark kick),7,0
1,1.0,Cowboys,Bob Hayes 15 yard pass from Craig Morton (Mike Clark kick),14,0
2,2.0,Cowboys,Mike Clark 21 yard field goal,17,0
3,2.0,Bears,Mac Percival 20 yard field goal,17,3
4,2.0,Cowboys,Don Perkins 1 yard rush (Mike Clark kick),24,3
5,4.0,Cowboys,Mike Clark 49 yard field goal,27,3
6,4.0,Cowboys,Walt Garrison 14 yard rush (Mike Clark kick),34,3
