,Quarter,Time,Tm,Detail,TAM,WAS
0,2.0,,Redskins,Ricky Ervins 15 yard pass from Heath Shuler (Chip Lohmiller kick),0,7
1,2.0,,Buccaneers,Michael Husted 42 yard field goal,3,7
2,2.0,,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),10,7
3,2.0,,Redskins,Henry Ellard 8 yard pass from Heath Shuler (Chip Lohmiller kick),10,14
4,4.0,,Buccaneers,Errict Rhett 3 yard rush (Michael Husted kick),17,14
