,Quarter,Time,Tm,Detail,OAK,DEN
0,2.0,,Broncos,Terrell Davis 3 yard rush (Jason Elam kick),0,7
1,2.0,,Broncos,Terrell Davis 19 yard rush (Jason Elam kick),0,14
2,2.0,,Raiders,Cole Ford 41 yard field goal,3,14
3,3.0,,Broncos,Terrell Davis 2 yard rush (Jason Elam kick),3,21
4,3.0,,Broncos,Jason Elam 36 yard field goal,3,24
5,3.0,,Broncos,Rod Smith 15 yard pass from John Elway (Jason Elam kick),3,31
