,Quarter,Time,Tm,Detail,STL,TAM
0,1.0,5:45,Buccaneers,Connor Barth 35 yard field goal,0,3
1,2.0,14:55,Rams,Josh Brown 25 yard field goal,3,3
2,2.0,8:22,Rams,Danny Amendola 5 yard pass from Sam Bradford (Josh Brown kick),10,3
3,2.0,2:59,Rams,Michael Hoomanawanui 2 yard pass from Sam Bradford (Josh Brown kick),17,3
4,2.0,0:24,Buccaneers,Connor Barth 39 yard field goal,17,6
5,3.0,7:13,Buccaneers,Connor Barth 53 yard field goal,17,9
6,3.0,0:02,Buccaneers,Connor Barth 38 yard field goal,17,12
7,4.0,0:10,Buccaneers,Cadillac Williams 1 yard pass from Josh Freeman (run failed),17,18
