,Quarter,Time,Tm,Detail,NOR,RAI
0,1.0,,Raiders,Tim Brown 12 yard pass from Jeff Hostetler (Jeff Jaeger kick),0,7
1,2.0,,Raiders,Jeff Jaeger 51 yard field goal,0,10
2,3.0,,Saints,Tyrone Hughes 42 yard defensive fumble return (Morten Andersen kick),7,10
3,3.0,,Raiders,Rocket Ismail 17 yard pass from Jeff Hostetler (Jeff Jaeger kick),7,17
4,4.0,,Raiders,Tim Brown 30 yard pass from Jeff Hostetler (Jeff Jaeger kick),7,24
5,4.0,,Saints,Torrance Small 9 yard pass from Jim Everett (pass failed),13,24
6,4.0,,Saints,Torrance Small 14 yard pass from Jim Everett (pass failed),19,24
