,Quarter,Tm,Detail,GNB,TAM
0,1.0,Packers,James Lofton 10 yard pass from David Whitehurst (Chester Marcol kick),7,0
1,1.0,Packers,Chester Marcol 27 yard field goal,10,0
2,2.0,Buccaneers,George Ragsdale 14 yard rush (Neil O'Donoghue kick),10,7
3,2.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),17,7
