,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,,Giants,Jessie Armstead 57 yard interception return (Brad Daluiso kick),7,0
1,1.0,,Eagles,Ricky Watters 1 yard rush (Chris Boniol kick),7,7
2,2.0,,Giants,Tiki Barber 11 yard pass from Danny Kanell (Brad Daluiso kick),14,7
3,2.0,7:05,Giants,David Patten 40 yard pass from Danny Kanell (Brad Daluiso kick),21,7
4,3.0,7:05,Eagles,Brian Dawkins 64 yard interception return (Chris Boniol kick),21,14
5,4.0,7:05,Giants,Chris Calloway 5 yard pass from Danny Kanell (Brad Daluiso kick),28,14
6,4.0,7:05,Giants,Brad Daluiso 19 yard field goal,31,14
7,4.0,7:05,Eagles,Irving Fryar 72 yard pass from Bobby Hoying (Chris Boniol kick),31,21
