,Quarter,Tm,Detail,OAK,KAN
0,1.0,Raiders,George Blanda 23 yard field goal,3,0
1,1.0,Chiefs,Walter White 48 yard pass from Mike Livingston (Jan Stenerud kick),3,7
2,1.0,Chiefs,Woody Green 5 yard rush (Jan Stenerud kick),3,14
3,1.0,Chiefs,Mike Livingston 1 yard offensive fumble return (Jan Stenerud kick),3,21
4,2.0,Chiefs,Ed Podolak 7 yard pass from Mike Livingston (Jan Stenerud kick),3,28
5,4.0,Chiefs,Billy Masters 5 yard pass from Mike Livingston (Jan Stenerud kick),3,35
6,4.0,Chiefs,Morris LaGrand 1 yard rush (Jan Stenerud kick),3,42
7,4.0,Raiders,Cliff Branch 9 yard pass from David Humm (George Blanda kick),10,42
