,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Mike Hegman defensive fumble recovery in end zone (Rafael Septien kick),7,0
1,2.0,Eagles,Tony Franklin 35 yard field goal,7,3
2,2.0,Eagles,Harold Carmichael 5 yard pass from Ron Jaworski (Tony Franklin kick),7,10
3,2.0,Cowboys,Rafael Septien 33 yard field goal,10,10
4,4.0,Eagles,Charlie Smith 15 yard pass from Ron Jaworski (Tony Franklin kick),10,17
