,Quarter,Time,Tm,Detail,STL,PHI
0,1.0,,Eagles,Freddie Solomon 7 yard pass from Koy Detmer (Chris Boniol kick),0,7
1,1.0,,Eagles,Chris Boniol 50 yard field goal,0,10
2,2.0,,Rams,Jeff Wilkins 46 yard field goal,3,10
3,2.0,0:20,Rams,Jeff Wilkins 20 yard field goal,6,10
4,3.0,0:20,Eagles,Irving Fryar 61 yard pass from Koy Detmer (Chris Boniol kick),6,17
5,4.0,0:20,Rams,June Henley 1 yard rush (Ricky Proehl pass from Tony Banks),14,17
