,Quarter,Time,Tm,Detail,CLE,BUF
0,1.0,9:29,Browns,Phil Dawson 40 yard field goal,3,0
1,1.0,2:28,Browns,Phil Dawson 33 yard field goal,6,0
2,2.0,9:52,Browns,Josh Cribbs 2 yard rush (Phil Dawson kick),13,0
3,2.0,6:20,Bills,Marshawn Lynch 18 yard pass from Trent Edwards (Rian Lindell kick),13,7
4,2.0,0:00,Bills,Rian Lindell 26 yard field goal,13,10
5,3.0,6:27,Browns,Phil Dawson 43 yard field goal,16,10
6,3.0,0:22,Bills,Rian Lindell 31 yard field goal,16,13
7,4.0,14:47,Browns,Jerome Harrison 72 yard rush (Phil Dawson kick),23,13
8,4.0,14:33,Bills,Leodis McKelvin 98 yard kickoff return (Rian Lindell kick),23,20
9,4.0,11:32,Browns,Phil Dawson 22 yard field goal,26,20
10,4.0,2:25,Bills,Trent Edwards 1 yard rush (Rian Lindell kick),26,27
11,4.0,1:39,Browns,Phil Dawson 56 yard field goal,29,27
