,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Ray Wersching 21 yard field goal,0,3
1,2.0,49ers,Ray Wersching 22 yard field goal,0,6
2,3.0,49ers,Wendell Tyler 9 yard rush (Ray Wersching kick),0,13
3,4.0,49ers,Freddie Solomon 10 yard pass from Joe Montana (Ray Wersching kick),0,20
4,4.0,49ers,Ray Wersching 34 yard field goal,0,23
