,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Dorne Dibble 26 yard pass from Bobby Layne (Doak Walker kick),7,0
1,2.0,Bears,John Hoffman 54 yard pass from Steve Romanik (George Blanda kick),7,7
2,2.0,Lions,Doak Walker 10 yard field goal,10,7
3,2.0,Lions,Leon Hart 17 yard pass from Bobby Layne (Doak Walker kick),17,7
4,2.0,Lions,Leon Hart 9 yard pass from Bobby Layne (Doak Walker kick),24,7
5,3.0,Bears,Gene Schroeder 10 yard pass from Johnny Lujack (George Blanda kick),24,14
6,3.0,Lions,Pat Harder 3 yard rush (Doak Walker kick),31,14
7,4.0,Bears,Jim Keane 7 yard pass from Johnny Lujack (George Blanda kick),31,21
8,4.0,Lions,Pat Harder 15 yard pass from Bobby Layne (Doak Walker kick),38,21
9,4.0,Lions,Pat Harder 43 yard field goal,41,21
10,4.0,Bears,George Gulyanics 4 yard rush (George Blanda kick),41,28
