,Quarter,Time,Tm,Detail,LAR,WAS
0,1.0,7:32,Rams,Darrell Henderson 1 yard rush (Sam Sloman kick failed),6,0
1,1.0,1:41,Washington,Kyle Allen 7 yard rush (Dustin Hopkins kick),6,7
2,2.0,15:00,Rams,Robert Woods 56 yard pass from Jared Goff (Sam Sloman kick),13,7
3,2.0,7:38,Rams,Jared Goff 2 yard rush (Sam Sloman kick),20,7
4,2.0,0:03,Washington,Dustin Hopkins 48 yard field goal,20,10
5,3.0,7:08,Rams,Sam Sloman 28 yard field goal,23,10
6,4.0,6:42,Rams,Darrell Henderson 11 yard pass from Jared Goff (Sam Sloman kick),30,10
