,Quarter,Tm,Detail,SFO,STL
0,1,Cardinals,J.V. Cain 9 yard pass from Jim Hart (Jim Bakken kick),0,7
1,2,49ers,Delvin Williams 4 yard rush,6,7
2,2,49ers,Delvin Williams 23 yard rush (Steve Mike-Mayer kick),13,7
3,3,Cardinals,Terry Metcalf 23 yard pass from Jim Hart (Jim Bakken kick),13,14
4,4,49ers,Delvin Williams 1 yard rush (Steve Mike-Mayer kick),20,14
5,4,Cardinals,Mel Gray 77 yard pass from Jim Hart,20,20
6,OT,Cardinals,Jim Bakken 21 yard field goal,20,23
