,Quarter,Tm,Detail,IND,BUF
0,1.0,Bills,Greg Bell 7 yard rush (Chuck Nelson kick),0,7
1,1.0,Bills,Tony Hunter 18 yard pass from Joe Dufek (Chuck Nelson kick),0,14
2,1.0,Bills,Byron Franklin 64 yard pass from Joe Dufek (Chuck Nelson kick),0,21
3,2.0,Colts,"Safety, Wilson tackled in end zone",2,21
4,2.0,Colts,Frank Middleton 14 yard pass from Art Schlichter (Raul Allegre kick),9,21
5,3.0,Colts,Raul Allegre 28 yard field goal,12,21
6,4.0,Colts,Raul Allegre 21 yard field goal,15,21
