,Quarter,Tm,Detail,RAC,CRD
0,1,Cardinals,Art Folz 35 yard rush (Paddy Driscoll kick),0,7
1,2,Cardinals,Paddy Driscoll 30 yard field goal,0,10
2,3,Legion,Hank Gillo unknown yard rush (Hank Gillo kick),7,10
3,4,Legion,Hank Gillo 20 yard field goal,10,10
