,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Roy Gerela 23 yard field goal,3,0
1,1.0,Steelers,Roy Gerela 44 yard field goal,6,0
2,2.0,Browns,Dave Logan 17 yard pass from Brian Sipe (Don Cockroft kick),6,7
3,2.0,Steelers,Larry Anderson 95 yard kickoff return (Roy Gerela kick),13,7
4,3.0,Steelers,Lynn Swann 28 yard pass from Terry Bradshaw (Roy Gerela kick),20,7
5,3.0,Steelers,Rocky Bleier 1 yard rush (Roy Gerela kick),27,7
6,4.0,Browns,Reggie Rucker 18 yard pass from Brian Sipe (Don Cockroft kick),27,14
7,4.0,Steelers,John Stallworth 32 yard pass from Terry Bradshaw (Roy Gerela kick),34,14
