,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,5:58,Rams,Isaac Bruce 17 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,2.0,14:56,Saints,Robert Wilson 12 yard pass from Aaron Brooks (Doug Brien kick),7,7
2,2.0,1:30,Saints,Doug Brien 33 yard field goal,7,10
3,3.0,8:40,Saints,Willie Jackson 10 yard pass from Aaron Brooks (Doug Brien kick),7,17
4,4.0,13:22,Saints,Willie Jackson 49 yard pass from Aaron Brooks (Doug Brien kick),7,24
5,4.0,11:57,Saints,Willie Jackson 16 yard pass from Aaron Brooks (Doug Brien kick),7,31
6,4.0,9:36,Rams,Ricky Proehl 17 yard pass from Kurt Warner,13,31
7,4.0,3:52,Rams,Marshall Faulk 25 yard pass from Kurt Warner (Jeff Wilkins kick),20,31
8,4.0,2:36,Rams,Kurt Warner 5 yard rush (Marshall Faulk pass from Kurt Warner),28,31
