,Quarter,Tm,Detail,CHI,RII
0,2,Bears,Pete Stinchcomb 37 yard rush (Dutch Sternaman kick),7,0
1,3,Independents,Buck Gavin 14 yard rush,7,6
2,4,Bears,Dutch Sternaman 30 yard field goal,10,6
