,Quarter,Tm,Detail,GNB,CLE
0,1.0,Packers,Fred Cone 27 yard field goal,3,0
1,2.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),3,7
2,2.0,Packers,Al Carmichael 100 yard kickoff return (Fred Cone kick),10,7
3,2.0,Browns,Fred Morrison 4 yard rush (Lou Groza kick),10,14
4,3.0,Browns,Maurice Bassett 30 yard rush (Lou Groza kick),10,21
5,4.0,Browns,Lou Groza 35 yard field goal,10,24
6,4.0,Browns,Lou Groza 36 yard field goal,10,27
7,4.0,Browns,Dub Jones 25 yard pass from George Ratterman (Lou Groza kick),10,34
8,4.0,Browns,Pete Brewster 22 yard pass from George Ratterman (Lou Groza kick),10,41
