,Quarter,Tm,Detail,CHI,STL
0,1.0,Cardinals,John Gilliam 12 yard pass from Charley Johnson (Jim Bakken kick),0,7
1,1.0,Cardinals,Larry Stallings 62 yard defensive fumble return,0,13
2,2.0,Bears,Dick Gordon 15 yard pass from Jack Concannon (Mac Percival kick),7,13
3,3.0,Bears,Dick Gordon 3 yard pass from Jack Concannon (Mac Percival kick),14,13
4,3.0,Bears,Mac Percival 21 yard field goal,17,13
5,4.0,Cardinals,Willis Crenshaw 2 yard rush (Jim Bakken kick),17,20
