,Quarter,Tm,Detail,BUF,NYG
0,2.0,Giants,Pete Gogolak 25 yard field goal,0,3
1,2.0,Bills,Grant Guthrie 23 yard field goal,3,3
2,2.0,Bills,Grant Guthrie 28 yard field goal,6,3
3,3.0,Giants,Pete Gogolak 15 yard field goal,6,6
4,4.0,Giants,Clifton McNeil 9 yard pass from Fran Tarkenton (Pete Gogolak kick),6,13
5,4.0,Giants,Tucker Frederickson 4 yard pass from Fran Tarkenton (Pete Gogolak kick),6,20
