,Quarter,Tm,Detail,STL,GNB
0,1.0,Packers,Boyd Dowler 7 yard pass from Don Horn (Booth Lusteg kick),0,7
1,1.0,Cardinals,John Gilliam 18 yard pass from Charley Johnson (Jim Bakken kick),7,7
2,1.0,Cardinals,Larry Wilson 88 yard defensive fumble return (Jim Bakken kick),14,7
3,2.0,Packers,Boyd Dowler 43 yard pass from Don Horn (Booth Lusteg kick),14,14
4,2.0,Packers,Dave Hampton 5 yard rush (Booth Lusteg kick),14,21
5,2.0,Packers,Travis Williams 12 yard pass from Don Horn (Booth Lusteg kick),14,28
6,2.0,Packers,Booth Lusteg 28 yard field goal,14,31
7,3.0,Cardinals,John Gilliam 100 yard kickoff return (Jim Bakken kick),21,31
8,3.0,Packers,Carroll Dale 34 yard pass from Don Horn (Booth Lusteg kick),21,38
9,4.0,Packers,Carroll Dale 10 yard pass from Don Horn (Booth Lusteg kick),21,45
10,4.0,Cardinals,Jackie Smith 2 yard pass from Charley Johnson (Jim Bakken kick),28,45
