,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Jim Brown 65 yard rush (Lou Groza kick),7,0
1,2.0,Giants,Pat Summerall 46 yard field goal,7,3
2,2.0,Browns,Lou Groza 22 yard field goal,10,3
3,4.0,Giants,Bob Schnelker 8 yard pass from Frank Gifford (Pat Summerall kick),10,10
4,4.0,Giants,Pat Summerall 49 yard field goal,10,13
