,Quarter,Time,Tm,Detail,TEN,CIN
0,1.0,14:43,Titans,Derrick Mason 101 yard kickoff return (Joe Nedney kick),7,0
1,1.0,5:14,Titans,Joe Nedney 41 yard field goal,10,0
2,1.0,1:06,Bengals,Ron Dugans 10 yard pass from Jon Kitna (Neil Rackers kick),10,7
3,3.0,2:06,Titans,Kevin Dyson 28 yard pass from Steve McNair (Joe Nedney kick),17,7
4,4.0,2:56,Titans,Joe Nedney 37 yard field goal,20,7
