,Quarter,Time,Tm,Detail,CAR,CHI
0,1.0,14:05,Panthers,Steve Smith 58 yard pass from Jake Delhomme (John Kasay kick),7,0
1,2.0,14:57,Panthers,John Kasay 20 yard field goal,10,0
2,2.0,6:26,Panthers,John Kasay 38 yard field goal,13,0
3,2.0,1:57,Bears,Adrian Peterson 1 yard rush (Robbie Gould kick),13,7
4,2.0,0:00,Panthers,John Kasay 37 yard field goal,16,7
5,3.0,11:21,Bears,Desmond Clark 1 yard pass from Rex Grossman (Robbie Gould kick),16,14
6,3.0,2:07,Panthers,Steve Smith 39 yard pass from Jake Delhomme (John Kasay kick),23,14
7,4.0,12:23,Bears,Jason McKie 3 yard rush (Robbie Gould kick),23,21
8,4.0,8:04,Panthers,Kris Mangum 1 yard pass from Jake Delhomme (John Kasay kick failed),29,21
