,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,12:17,Vikings,Blair Walsh 40 yard field goal,3,0
1,1.0,7:17,Bears,Michael Bush 1 yard rush (Robbie Gould kick),3,7
2,1.0,0:32,Bears,Robbie Gould 47 yard field goal,3,10
3,2.0,4:01,Bears,Michael Bush 1 yard rush (Adam Podlesh run),3,18
4,2.0,1:48,Bears,Matt Spaeth 13 yard pass from Jay Cutler (Robbie Gould kick),3,25
5,3.0,10:44,Vikings,Kyle Rudolph 2 yard pass from Christian Ponder (Blair Walsh kick),10,25
6,3.0,3:57,Bears,Robbie Gould 46 yard field goal,10,28
