,Quarter,Tm,Detail,CLE,GNB
0,1.0,Packers,Travis Williams 87 yard kickoff return (Don Chandler kick),0,7
1,1.0,Packers,Marv Fleming 14 yard pass from Bart Starr (Don Chandler kick),0,14
2,1.0,Packers,Donny Anderson 2 yard rush (Don Chandler kick),0,21
3,1.0,Packers,Donny Anderson 27 yard pass from Bart Starr (Don Chandler kick),0,28
4,1.0,Browns,Ernie Green 59 yard rush (Lou Groza kick),7,28
5,1.0,Packers,Travis Williams 85 yard kickoff return (Don Chandler kick),7,35
6,2.0,Packers,Donny Anderson 9 yard rush (Don Chandler kick),7,42
7,2.0,Packers,Don Chandler 24 yard field goal,7,45
8,3.0,Packers,Don Chandler 30 yard field goal,7,48
9,4.0,Packers,Donny Anderson 3 yard rush (Don Chandler kick),7,55
