,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,,Chargers,John Carney 28 yard field goal,0,3
1,2.0,,Raiders,James Jett 45 yard pass from Wade Wilson (Greg Davis kick),7,3
2,2.0,,Raiders,Tim Brown 12 yard pass from Wade Wilson (Greg Davis kick),14,3
3,3.0,,Raiders,Greg Davis 25 yard field goal,17,3
4,3.0,,Chargers,Mikhael Ricks 39 yard pass from Craig Whelihan (John Carney kick),17,10
