,Quarter,Tm,Detail,NOR,DEN
0,1,Broncos,Jim Turner 28 yard field goal,0,3
1,3,Saints,Garo Yepremian 20 yard field goal,3,3
2,4,Broncos,Rick Upchurch 12 yard pass from Craig Morton (Jim Turner kick),3,10
