,Quarter,Tm,Detail,MIN,BAL
0,1.0,Vikings,Mike Mercer 20 yard field goal,3,0
1,1.0,Colts,Lenny Moore 72 yard pass from Johnny Unitas (Steve Myhra kick),3,7
2,2.0,Vikings,A.D. Williams 7 yard pass from George Shaw (Mike Mercer kick),10,7
3,2.0,Colts,Lenny Moore 4 yard rush (Steve Myhra kick),10,14
4,2.0,Vikings,Mike Mercer 26 yard field goal,13,14
5,3.0,Colts,Lenny Moore 17 yard pass from Lamar McHan (Steve Myhra kick),13,21
6,3.0,Vikings,Mike Mercer 10 yard field goal,16,21
7,3.0,Vikings,Jerry Reichow 23 yard pass from George Shaw (Mike Mercer kick),23,21
8,4.0,Colts,Lenny Moore 23 yard pass from Johnny Unitas (Steve Myhra kick),23,28
9,4.0,Vikings,Ray Hayes 4 yard rush (Mike Mercer kick),30,28
10,4.0,Colts,Steve Myhra 37 yard field goal,30,31
11,4.0,Vikings,Mike Mercer 29 yard field goal,33,31
12,4.0,Colts,Steve Myhra 52 yard field goal,33,34
