,Quarter,Tm,Detail,MIA,NWE
0,1.0,Patriots,John Stephens 1 yard rush (Jason Staurovsky kick),0,7
1,2.0,Dolphins,Pete Stoyanovich 47 yard field goal,3,7
2,2.0,Dolphins,Mark Clayton 24 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,2.0,Dolphins,Jim Jensen 5 yard pass from Dan Marino (Pete Stoyanovich kick),17,7
4,4.0,Dolphins,Pete Stoyanovich 25 yard field goal,20,7
5,4.0,Patriots,Jason Staurovsky 37 yard field goal,20,10
