,Quarter,Time,Tm,Detail,MIA,NOR
0,1.0,6:48,Saints,John Carney 26 yard field goal,0,3
1,1.0,0:33,Dolphins,Olindo Mare 37 yard field goal,3,3
2,2.0,7:18,Dolphins,Olindo Mare 36 yard field goal,6,3
3,2.0,0:00,Dolphins,Olindo Mare 41 yard field goal,9,3
4,3.0,3:37,Saints,John Carney 49 yard field goal,9,6
5,3.0,1:52,Dolphins,"Safety,",11,6
6,4.0,14:09,Dolphins,Chris Chambers 12 yard pass from Gus Frerotte (Olindo Mare kick),18,6
7,4.0,9:28,Dolphins,Olindo Mare 46 yard field goal,21,6
