,Quarter,Tm,Detail,BAL,MIA
0,1.0,Colts,Lydell Mitchell 6 yard rush (Toni Linhart kick),7,0
1,2.0,Dolphins,Garo Yepremian 20 yard field goal,7,3
2,2.0,Colts,Raymond Chester 25 yard pass from Bert Jones (Toni Linhart kick),14,3
3,2.0,Dolphins,Jim Mandich 20 yard pass from Bob Griese (Garo Yepremian kick),14,10
4,4.0,Colts,Toni Linhart 27 yard field goal,17,10
5,4.0,Dolphins,Benny Malone 3 yard rush,17,16
