,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,Scott Sisson 28 yard field goal,3,0
1,3.0,Dolphins,Pete Stoyanovich 23 yard field goal,3,3
2,3.0,Patriots,Scott Sisson 40 yard field goal,6,3
3,4.0,Dolphins,Keith Byars 11 yard pass from Steve DeBerg (Pete Stoyanovich kick),6,10
4,4.0,Dolphins,Irving Fryar 44 yard pass from Steve DeBerg (Pete Stoyanovich kick),6,17
5,4.0,Patriots,Ray Crittenden 40 yard pass from Drew Bledsoe (Scott Sisson kick),13,17
