,Quarter,Tm,Detail,PHI,WAS
0,2.0,Redskins,Charlie Gogolak 24 yard field goal,0,3
1,2.0,Redskins,Sonny Jurgensen 4 yard rush (Charlie Gogolak kick),0,10
2,3.0,Redskins,Charley Taylor 34 yard pass from Sonny Jurgensen (Charlie Gogolak kick),0,17
3,4.0,Eagles,Ben Hawkins 26 yard pass from Norm Snead (Sam Baker kick),7,17
4,4.0,Eagles,Alvin Haymond 54 yard punt return (Sam Baker kick),14,17
