,Quarter,Tm,Detail,PHI,BUF
0,1.0,Eagles,Keith Krepfle 1 yard pass from Ron Jaworski (Tony Franklin kick),7,0
1,2.0,Bills,Joe Cribbs 4 yard rush (Nick Mike-Mayer kick),7,7
2,2.0,Eagles,Tony Franklin 29 yard field goal,10,7
3,2.0,Bills,Frank Lewis 20 yard pass from Joe Ferguson (Nick Mike-Mayer kick),10,14
4,3.0,Eagles,Harold Carmichael 15 yard pass from Ron Jaworski (Tony Franklin kick),17,14
5,4.0,Eagles,Tony Franklin 46 yard field goal,20,14
