,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,John Hoffman 5 yard rush (George Blanda kick),7,0
1,1.0,Rams,Ben Agajanian 16 yard field goal,7,3
2,2.0,Rams,Dan Towler 59 yard rush (Ben Agajanian kick),7,10
3,2.0,Bears,George Blanda 15 yard field goal,10,10
4,2.0,Rams,Bob Boyd 43 yard pass from Norm Van Brocklin (Ben Agajanian kick),10,17
5,2.0,Rams,Bob Boyd 70 yard pass from Norm Van Brocklin (Ben Agajanian kick),10,24
6,4.0,Bears,Fred Morrison 5 yard rush (George Blanda kick),17,24
7,4.0,Bears,Billy Stone 10 yard pass from George Blanda (George Blanda kick),24,24
8,4.0,Rams,Skeets Quinlan 23 yard rush (Ben Agajanian kick),24,31
9,4.0,Rams,Dan Towler 23 yard rush (Ben Agajanian kick),24,38
