,Quarter,Tm,Detail,PIT,BUF
0,1.0,Bills,Scott Norwood 38 yard field goal,0,3
1,1.0,Bills,Chris Burkett 26 yard pass from Jim Kelly (Scott Norwood kick),0,10
2,2.0,Steelers,Bubby Brister 1 yard rush (Gary Anderson kick),7,10
3,2.0,Bills,Scott Norwood 39 yard field goal,7,13
4,2.0,Steelers,Warren Williams 5 yard pass from Bubby Brister (Gary Anderson kick),14,13
5,2.0,Bills,Scott Norwood 39 yard field goal,14,16
6,3.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),14,23
7,3.0,Bills,Robb Riddick 5 yard blocked punt return (Scott Norwood kick),14,30
8,4.0,Bills,Scott Norwood 48 yard field goal,14,33
9,4.0,Bills,Scott Norwood 49 yard field goal,14,36
10,4.0,Steelers,Bubby Brister 1 yard rush (Gary Anderson kick),21,36
11,4.0,Steelers,Weegie Thompson 42 yard pass from Bubby Brister (Gary Anderson kick),28,36
